timepoint,population,n_responders,n_non_responders,median_responders,median_non_responders,p_value,significant,median_difference
0,b_cell,331,325,9.785034652883825,9.758175376096343,0.5485408675112389,False,0.02685927678748179
0,cd4_t_cell,331,325,29.633821633005223,29.530535110403818,0.7964495929763914,False,0.10328652260140458
0,cd8_t_cell,331,325,24.39568761084873,24.60102813964531,0.5139556861462278,False,-0.20534052879658304
0,nk_cell,331,325,14.997332404211535,14.890453979521677,0.8853281081905569,False,0.10687842468985842
0,monocyte,331,325,19.6055804178746,20.286002186823318,0.21138928177193006,False,-0.6804217689487189
7,b_cell,331,325,9.233417466902628,9.96574061312489,0.14386477481769383,False,-0.7323231462222619
7,cd4_t_cell,331,325,30.445659590036684,29.54763079244407,0.02970607205457185,True,0.8980287975926124
7,cd8_t_cell,331,325,24.696417585537837,24.772727272727273,0.637658094967041,False,-0.0763096871894362
7,nk_cell,331,325,14.419799388594255,14.795928490644656,0.13775265937433018,False,-0.37612910205040073
7,monocyte,331,325,19.596890913964085,20.03212228622065,0.48413674295382414,False,-0.4352313722565633
14,b_cell,331,325,9.107291903786328,9.837048983645893,0.014414435042203693,True,-0.7297570798595654
14,cd4_t_cell,331,325,30.790936388610856,30.069868027059997,0.07547067704462711,False,0.7210683615508593
14,cd8_t_cell,331,325,25.077472448539822,24.5581237253569,0.7407366897157915,False,0.5193487231829224
14,nk_cell,331,325,14.35279940320205,14.653386282211766,0.3147007071269343,False,-0.3005868790097157
14,monocyte,331,325,19.623260270454477,19.74962832087221,0.6471033071525258,False,-0.12636805041773158
